Tree order	OS_name	Isolate name	Standardized name	Isolation	Ecological origins	Geographical origins	HO deletion	Plasmid class	Plasmid CN	Ploidy	Aneuploidies	Zygosity	Total number of SNPs	Proportion of clean heterozygous SNPs (whole dataset)	Number of singletons	Mean coverage	Clade	MTA (no distribution)	Collection / Provider	Reference
504	OS_1364	CBS7957	AQH	Factory producing cassava flour	Industrial	Sao Paulo, Brazil	no	A	289	3	aneu;+1*3;	heterozygous	62,227	77.0	537	220	7. Mosaic beer 		CBS collection (Nguyen H.V.)	
505	OS_1677	YJM193	SACE_YAB	Unknown	Distillery	NA	no	A	28	2	euploid	homozygous	49,322	0.0	105	42	7. Mosaic beer 		Phaff collection	2
506	OS_763	CLIB382_1b	AAR	Beer	Beer	Ireland	yes	A	27	1	euploid	homozygous	48,456	0.0	20	216	7. Mosaic beer 		CLIB collection	1
507	OS_814	CBS7958	AEA	Factory producing cassava flour	Industrial	Sao Paulo, Brazil	yes	A	2	1	euploid	homozygous	48,312	0.0	3	209	7. Mosaic beer 		CBS collection (Nguyen H.V.)	
508	OS_1289	DBVPG6590	BRM	Alcohol production tank	Distillery	Brazil	no	A	19	1	euploid	homozygous	48,201	0.0	7	211	7. Mosaic beer 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
509	OS_822	CBS1782	AEQ	Super-attenuated beer	Beer	Japan	yes	A	3	1	euploid	homozygous	48,790	0.0	15	227	7. Mosaic beer 		CBS collection (Nguyen H.V.)	
510	OS_1681	YJM271	SACE_YAG	Brewery	Beer	NA	no	A	58	2	euploid	homozygous	48,209	0.0	20	52	7. Mosaic beer 		Phaff collection	2
511	OS_762	CLIB272_2	AAQ	Beer	Beer	USA	yes	A	33	1	euploid	homozygous	47,515	0.0	457	165	7. Mosaic beer 		CLIB collection / Charles University, Prague, Czech Republic (Vondrejs V.)	1
512	OS_1396	CBS4255	ASB	Sputum	Human, clinical	NA	no	A	55	2	euploid	heterozygous	63,288	46.4	1,010	247	7. Mosaic beer 		CBS collection (Nguyen H.V.)	
513	OS_1351	CBS382	APP	Beer	Beer	Brazil, Rio de Janeiro	no	B	129	3	aneu;+1*9;+1*10;+1*12;	heterozygous	61,961	36.0	1,728	230	7. Mosaic beer 		CBS collection (Nguyen H.V.)	
514	OS_869	1175	CPD	Spoiled beer	Beer	NA	no	A	194	2	aneu;+1*8;	heterozygous	53,692	13.5	1,013	230	7. Mosaic beer 		Instituto de Agroquimica y Tecnologia de los Alimentos (IATA)-CSIC (Amparo Querol)	
515	OS_832	CBS1463	AIG	Beer	Beer	NA	yes	A	29	1	euploid	homozygous	47,777	0.0	529	172	7. Mosaic beer 		CBS collection (Nguyen H.V.)	
516	OS_1380	CBS1398	ARE	Leaf of Eucalyptus sp.	Tree	NA	no	A	35	2	aneu;+1*2;+1*3;+1*6;+4*9;+1*12;+1*14;+1*15;	heterozygous	58,511	27.4	708	244	7. Mosaic beer 		CBS collection (Nguyen H.V.)	
517	NA	YJM1478	SACE_YDD	Kefyr	Fermentation	Missouri, USA	no	A	50	2	euploid	homozygous	51,763	0.0	218	331	7. Mosaic beer 			2
518	OS_725	CBS7993	AFQ	Fresh water	Water	Rio de Janeiro, Tijuca National Forest, Cushvara River, Brazil	yes	A	22	1	euploid	homozygous	52,097	0.0	295	243	M2. Mosaic region 2 		CBS collection (Nguyen H.V.)	
519	OS_1588	UFRJ_50613-2D(a)	CDM	Cushvara river	Water	Rio de Janeiro, Brazil	no	A	20	2	euploid	homozygous	50,869	0.0	212	260	M2. Mosaic region 2 		State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
520	OS_1719	YJM1383	SACE_YCF	Coconut	Fruit	Philippines	no	A	127	2	euploid	homozygous	47,877	0.0	536	392	M2. Mosaic region 2		Phaff collection	2
521	OS_1561	UCD_40-346	CFT	Spoiled Adriatic orchard figs, (1939)	Fruit	Fresno area,  California	no	B	203	2	aneu;+1*5;+1*9;	heterozygous	60,874	43.6	717	246	M2. Mosaic region 2		Phaff collection	
522	OS_838	CBS2970	AER	Blackstrap molasses	Industrial	San Jose sugar mill, Rio Piedras, Puerto Rico	yes	B	17	1	aneu;+1*2;+1*4;+1*8;+1*9;	heterozygous	52,079	11.4	1,107	218	M2. Mosaic region 2		CBS collection (Nguyen H.V.)	
523	OS_1054	#33	BCV	Evolution canyon	Nature	Israel	no	B	86	2	euploid	heterozygous	52,520	19.6	12	219	M2. Mosaic region 2		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
524	OS_1056	#35	BDB	Evolution canyon	Nature	Israel	no	B	102	2	euploid	heterozygous	52,428	18.8	23	215	M2. Mosaic region 2		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
525	OS_1058	#13	BDD	Evolution canyon	Nature	Israel	no	B	65	2	euploid	heterozygous	53,787	25.3	31	223	M2. Mosaic region 2		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
526	OS_1055	#34	BDA	Evolution canyon	Nature	Israel	no	B	64	2	aneu;+1*1;	heterozygous	52,902	25.2	2	200	M2. Mosaic region 2		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
527	OS_1059	#14	BDE	Evolution canyon	Nature	Israel	no	B	118	3	aneu;-1*3;	heterozygous	55,880	31.4	15	203	M2. Mosaic region 2		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
528	OS_1062	#59	BDH	Evolution canyon	Nature	Israel	no	B	76	2	euploid	heterozygous	54,238	26.1	2	217	M2. Mosaic region 2		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
529	OS_1063	#60	BDI	Evolution canyon	Nature	Israel	no	B	71	2	aneu;+1*1;	heterozygous	54,127	25.1	15	233	M2. Mosaic region 2		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
530	OS_1064	#63	BDK	Evolution canyon	Nature	Israel	no	B	29	2	aneu;+1*1;	homozygous	47,842	0.0	667	219	M2. Mosaic region 2		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
531	NA	YJM1433	SACE_YCT	Wine	Wine	France	no	A	49	2	euploid	homozygous	49,355	0.0	281	46	M2. Mosaic region 2			2
532	OS_1716	YJM1355	SACE_YCC	Molasses	Industrial	Illinois, USA	no	B	142	2	euploid	homozygous	52,252	0.0	908	334	M2. Mosaic region 2		Phaff collection	2
533	OS_1151	CLIB1070	BHG	Cider brewery, dry cider	Cider	Lower Normandy, France	no	A	8	2	euploid	heterozygous	57,984	37.6	246	271	M2. Mosaic region 2		CLIB collection (Serge Casaregola)	
534	OS_1152	CLIB1071	BHH	Cider brewery, dry cider	Cider	Lower Normandy, France	no	A	34	2	euploid	homozygous	47,740	0.0	54	256	M2. Mosaic region 2		CLIB collection (Serge Casaregola)	
535	OS_1153	CLIB1072	BHI	Cider brewery, dry cider	Cider	Lower Normandy, France	no	A	17	2	euploid	heterozygous	47,149	0.3	40	246	M2. Mosaic region 2		CLIB collection (Serge Casaregola)	
536	OS_699	273614N	SACE_MAA	Royal Victoria Infirmary, Newcastle UK, Galloway A Clinical isolate (Fecal) Mackenzie D	Human, clinical	Newcastle, UK	no	B	43	2	euploid	homozygous	48,607	0.0	25	49	M2. Mosaic region 2			17
537	NA	YJM1450	SACE_YCZ	Clinical	Human, clinical	Kansas, USA	no	B	82	2	euploid	homozygous	49,803	0.0	28	75	M2. Mosaic region 2			2
538	OS_719	CBS1252	AFF	Bakery	Bakery	France	yes	B	23	1	euploid	homozygous	49,046	0.0	34	213	8. Mixed origin 		CBS collection (Nguyen H.V.)	
539	OS_718	CBS1236-a	AAL	Bakery	Bakery	France	no	B	107	2	aneu;-1*6;	heterozygous	66,644	51.4	37	188	8. Mixed origin 		CBS collection (Nguyen H.V.)	
540	OS_759	CLIB192_1b	AAM	Bakery	Bakery	France	yes	B	19	1	euploid	homozygous	50,479	0.0	28	188	8. Mixed origin 		CLIB collection	1
541	OS_411	UWOPS83-883-2	ANP	Drosophila sp. from Opuntia stricta,	Insect	Navassa Island	no	B	29	2	euploid	heterozygous	69,442	61.5	36	205	8. Mixed origin 		University of Western Ontario, Canada (Lachance M.A.)	
542	OS_850	CBS1487	AHV	Brewery	Beer	NA	yes	B	1	1	aneu;+1*1;+1*11;	heterozygous	50,020	5.4	26	192	8. Mixed origin 		CBS collection (Nguyen H.V.)	
543	OS_1429	CECT10131	ATS	Flower	Flower	Spain	no	B	185	2	euploid	heterozygous	66,671	53.1	5	248	8. Mixed origin 		CECT collection	
544	OS_873	1663	BBP	Flower of Centaurea alba	Flower	Spain	no	B	92	2	euploid	heterozygous	66,391	53.0	4	207	8. Mixed origin 		Instituto de Agroquimica y Tecnologia de los Alimentos (IATA)-CSIC (Amparo Querol)	
545	OS_1592	CECT10331:9-1	CDR	Flowers of Centaurea alba	Flower	Spain	no	B	42	2	euploid	homozygous	51,780	0.0	26	231	8. Mixed origin 		CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
546	OS_289	NCYC_2925	BMG	Human sputum	Human, clinical	Norway	no	B	77	3	aneu;+1*1;	heterozygous	73,522	62.3	74	334	8. Mixed origin 		National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
547	OS_1661	SBE-1C	CHL	Bakery	Bakery	Northern Europe	no	B	40	2	aneu;+1*2;+1*13;	heterozygous	67,514	52.0	19	184	8. Mixed origin 	yes	INRA Moulon, France (Sicard D.)	
548	OS_808	Y6_b	ADP	Unknown	Unknown	French Guiana	no	B	90	2	aneu;+2*2;+2*9;+2*11;	heterozygous	50,450	6.2	5	267	8. Mixed origin 		Kruglyak Laboratory	1
549	OS_617	SJ6L01	AMK	Leaf of Cunninghamia lanceolata	Tree	Tuchih, Nantou, Taiwan	no	B	33	3	aneu;-1*7;	heterozygous	76,864	66.2	9	232	8. Mixed origin 		National Hsinchu University of Education (Ching-Fu Lee)	25
550	OS_618	SJ5L11	AML	Leaf of Acacia dealbata	Tree	Tuchih, Nantou, Taiwan	no	B	71	3	euploid	heterozygous	75,678	65.5	9	204	8. Mixed origin 		National Hsinchu University of Education (Ching-Fu Lee)	25
551	OS_616	SJ1L04	AMI	Leaf of Podocarppus macrophyllus	Tree	Yuchih, Nantou, Taiwan	no	B	47	3	aneu;+1*1;	heterozygous	78,948	68.2	10	251	8. Mixed origin 		National Hsinchu University of Education (Ching-Fu Lee)	25
552	OS_614	SJ7L01	AMG	Leaf of Ardisia cornudentata	Tree	Tuchih, Nantou, Taiwan	no	B	60	3	euploid	heterozygous	78,714	68.7	1	189	8. Mixed origin 		National Hsinchu University of Education (Ching-Fu Lee)	25
553	OS_622	SJ5L15	AMQ	Leaf of Acacia dealbata	Tree	Tuchih, Nantou, Taiwan	no	B	66	3	euploid	heterozygous	78,429	68.0	11	191	8. Mixed origin 		National Hsinchu University of Education (Ching-Fu Lee)	25
554	OS_263	YS10(E)	APK	Baker's yeast	Bakery	South Africa	no	B	54	3	euploid	heterozygous	79,106	68.8	8	240	8. Mixed origin 		Macquarie University (Philip Bell)	18
555	OS_266	YS19	APN	type yeasts of the species Saccharomyces cerevisiae in different sugar media, Letters in Applied Microbiology 2001	Bakery	Philippines	no	B	26	3	aneu;+1*1;	heterozygous	79,007	67.4	10	272	8. Mixed origin 		Macquarie University (Philip Bell)	18
556	OS_1521	Ponton 13	CIE	Mouth	Human, clinical	Spain	no	B	49	3	aneu;+1*1;-1*3;-1*8;-1*9;-1*10;-1*13;	heterozygous	72,027	60.0	14	212	8. Mixed origin 		Inserm Universite P. M. Curie, Paris, France (Hennequin C.)	
557	OS_820	CBS2973	AEM	Beer wort	Beer	NA	yes	B	9	1	aneu;+1*11;	heterozygous	50,189	6.0	34	201	8. Mixed origin 		CBS collection (Nguyen H.V.)	
558	OS_824	CBS1464	AFT	Infected nail of 4 yo girl	Human, clinical	Austria	no	B	12	4	euploid	homozygous	51,260	0.0	13	221	8. Mixed origin 		CBS collection (Nguyen H.V.)	
559	OS_1365	CBS8292	AQI	Seawater	Water	Sweden	no	B	117	2	euploid	heterozygous	65,679	56.2	24	202	8. Mixed origin 		CBS collection (Nguyen H.V.)	
560	OS_717	CBS8291	AFE	Seawater	Water	Sweden	no	B	84	2	euploid	heterozygous	62,805	42.2	63	188	8. Mixed origin 		CBS collection (Nguyen H.V.)	
561	OS_1428	CECT10120	ATR	Fruit	Fruit	Spain	no	B	64	2	euploid	heterozygous	64,234	48.7	66	199	8. Mixed origin 		CECT collection	
562	OS_859	CBS7764	AFC	Salmo gairdneri (rainbow trout)	Nature	Goteborg, Sweden	no	B	2	2	aneu;+1*7;-1*14;	heterozygous	66,068	48.2	23	294	8. Mixed origin 		CBS collection (Nguyen H.V.)	
563	OS_265	YS15	APM	type yeasts of the species Saccharomyces cerevisiae in different sugar media, Letters in Applied Microbiology 2001	Bakery	Korea	no	B	31	2	aneu;+1*9;	heterozygous	64,114	46.0	32	215	8. Mixed origin 		Macquarie University (Philip Bell)	18
564	OS_267	YS20	API	type yeasts of the species Saccharomyces cerevisiae in different sugar media, Letters in Applied Microbiology 2001	Bakery	Korea	no	B	30	2	aneu;+1*8;+1*9;	heterozygous	68,623	54.0	7	224	8. Mixed origin 		Macquarie University (Philip Bell)	18
565	OS_1405	CLIB340	ASL	Bakery levain	Bakery	Anatolia, Turkey	no	B	177	2	aneu;+1*2;+1*9;	heterozygous	66,262	46.5	7	243	8. Mixed origin 		CLIB collection / (Oraler G.)	
566	OS_268	YS22(E)	BTF	type yeasts of the species Saccharomyces cerevisiae in different sugar media, Letters in Applied Microbiology 2001	Bakery	NA	no	B	31	2	aneu;+1*1;+1*9;	heterozygous	66,945	47.3	5	407	8. Mixed origin 		Macquarie University (Philip Bell)	18
567	OS_1408	B1	ASP	Unknown	Unknown	France	no	B	307	2	euploid	heterozygous	71,670	61.5	28	205	8. Mixed origin 		Washington University School of Medicine (Justin C Fay)	5
568	OS_1051	#23	BCR	Evolution canyon	Nature	Israel	no	B	256	4	aneu;+1*8;	heterozygous	85,985	76.5	63	215	8. Mixed origin 		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
569	OS_1052	#03	BCS	Evolution canyon	Nature	Israel	no	B	64	2	euploid	heterozygous	66,063	54.3	2	229	8. Mixed origin 		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
570	OS_1053	#05	BCT	Evolution canyon	Nature	Israel	no	B	56	2	euploid	heterozygous	64,918	50.0	4	248	8. Mixed origin 		Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
571	OS_826	CBS2361	AGK	Trinidadian cane sugar	Nature	UK	yes	B	5	1	euploid	homozygous	51,923	0.0	21	405	8. Mixed origin 		CBS collection (Nguyen H.V.)	
572	OS_846	CBS1385	AGE	Bakery	Bakery	NA	no	B	51	2	aneu;-1*6;	heterozygous	65,234	47.9	16	211	8. Mixed origin 		CBS collection (Nguyen H.V.)	
573	OS_245	79	BTC	Fleischmann baker's yeast.	Bakery	NA	no	B	86	2	euploid	heterozygous	64,470	44.5	30	235	8. Mixed origin 		National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
574	OS_782	DBVPG6861	ABV	Poluted stream	Water	Tijuca forest, Rio de Janeiro, Brazil	no	B	45	3	aneu;+1*1;+1*9;	heterozygous	84,868	73.0	36	241	8. Mixed origin 		DBVPG collection	1
575	OS_589	21-4-124	ALV	Fruit of plum tree (Prunus domestica L., 'Stanley')	Fruit	Male Zaluzie, Slovakia	no	B	20	3	aneu;+1*1;+1*7;+1*9;+1*11;	heterozygous	85,367	74.2	16	195	8. Mixed origin 		Culture collection of Yeast (Renata Vadkertiova)	
576	OS_665	CCY_21-4-88	BBC	Fruitbody of mushroom Xerocomus badius (Fr.) Gilb.	Fruit	Laksarska Nova Ves, Slovakia	no	B	63	3	aneu;+1*7;	heterozygous	83,317	71.0	31	320	8. Mixed origin 		Culture collection of Yeast (Renata Vadkertiova)	
577	OS_620	SJ5L13	AMN	Leaf of Wendlandia formosana	Tree	Tuchih, Nantou, Taiwan	no	B	29	4	euploid	heterozygous	92,215	77.6	47	253	8. Mixed origin 		National Hsinchu University of Education (Ching-Fu Lee)	25
578	OS_1636	3.4_Safbrew_T-58	CFP	Carlsberg Beer	Beer	NA	no	B	110	4	euploid	heterozygous	93,432	78.5	6	225	8. Mixed origin 		Carlsberg	
579	OS_668	CCY_21-4-102	BBF	River water (Danube)	Water	Bratislava, Slovakia	no	B	71	2	euploid	heterozygous	68,837	49.6	35	227	8. Mixed origin 		Culture collection of Yeast (Renata Vadkertiova)	
580	OS_761	CLIB326_1	AAP	Bakery	Bakery	Australia	no	B	36	2	euploid	heterozygous	68,539	51.0	19	197	8. Mixed origin 		CLIB collection	1
581	OS_581	21-4-103	ALN	River water (Morava)	Water	Bratislava, Deninska Nova Ves, Slovakia	no	B	23	2	euploid	heterozygous	71,303	53.9	23	218	8. Mixed origin 		Culture collection of Yeast (Renata Vadkertiova)	
582	OS_582	21-4-105	ALP	River water Morava	Water	Bratislava, Deninska Nova Ves, Slovakia	no	B	24	2	aneu;+1*9;	heterozygous	69,838	51.0	12	223	8. Mixed origin 		Culture collection of Yeast (Renata Vadkertiova)	
583	OS_666	CCY_21-4-97	BBD	Fish pond water	Water	Jakubov, Slovakia	no	B	49	2	aneu;+1*8;	heterozygous	69,389	52.0	25	310	8. Mixed origin 		Culture collection of Yeast (Renata Vadkertiova)	
584	OS_667	CCY_21-4-98	BBE	Sediment of fresh water lake	Water	Jakubov, Slovakia	no	B	106	2	aneu;+1*8;	heterozygous	67,543	48.0	22	302	8. Mixed origin 		Culture collection of Yeast (Renata Vadkertiova)	
585	OS_760	CLIB274_1	AAN	Bakery	Bakery	Czech Republic	no	B	35	2	aneu;-1*3;	heterozygous	70,294	54.1	15	189	8. Mixed origin 		CLIB collection	1
586	OS_1659	646-3B	CHI	Bakery	Bakery	USA	no	B	23	2	euploid	heterozygous	70,916	56.1	21	177	8. Mixed origin 	yes	INRA Moulon, France (Sicard D.)	
587	OS_264	YS11(E)	APL	type yeasts of the species Saccharomyces cerevisiae in different sugar media, Letters in Applied Microbiology 2001	Bakery	Turkey	no	B	16	2	euploid	heterozygous	69,856	56.1	39	204	8. Mixed origin 		Macquarie University (Philip Bell)	18
588	OS_713	CBS6216	AEV	Tapwater	Water	Rotterdam, Netherlands	no	B	29	2	aneu;+1*7;	heterozygous	68,065	47.0	33	228	8. Mixed origin 		CBS collection	
589	OS_1630	2.6_Windsor_British	CFI	Carlsberg Beer	Beer	UK	no	B	103	4	aneu;+1*9;	heterozygous	94,571	77.7	28	253	8. Mixed origin 		Carlsberg	
590	OS_1635	3.3_Safale_S-33	CFN	Carlsberg Beer	Beer	NA	no	B	100	4	aneu;+1*2;+1*9;	heterozygous	95,047	77.6	33	277	8. Mixed origin 		Carlsberg	
591	OS_1660	Win-8B	CHK	Brewery	Beer	UK	no	B	38	2	aneu;+1*9;	heterozygous	71,262	54.1	13	212	8. Mixed origin 	yes	INRA Moulon, France (Sicard D.)	
592	OS_1658	319-5C	CHH	Bakery	Bakery	France	no	B	10	2	aneu;+1*7;	heterozygous	68,402	52.3	102	150	8. Mixed origin 	yes	INRA Moulon, France (Sicard D.)	
593	OS_682	CLIB318_1	ADL	Bakery	Bakery	Netherlands	no	B	33	2	aneu;+1*1;+1*6;+1*9;+1*11;	heterozygous	75,765	59.2	15	216	8. Mixed origin 		CLIB collection	1
594	OS_1065	CLQCA_10-386	BDL	Beer	Beer	Equador	no	B	9	2	euploid	heterozygous	73,045	53.7	29	240	8. Mixed origin 		National Collection of Yeast Cultures (NCYC)(Stephen A James) and Coleccion de Levaduras Quito Catolica (CLQCA)(Enrique Javier Carvajal Barriga)	
595	OS_1456	EXF-6835	BFM	Petrol station, oil contaminated asphalt	Industrial	Slovenia	no	B	141	4	aneu;-1*13;-1*16;	heterozygous	86,428	77.5	19	77	8. Mixed origin 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
596	OS_1449	EXF-5734	BFE	Spoiled gooseberry juice	Industrial	NA	no	B	127	4	aneu;-1*14;	heterozygous	96,517	78.0	6	270	8. Mixed origin 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
597	OS_1451	EXF-5869	BFG	Rotten wood	Nature	NA	no	B	103	4	euploid	heterozygous	96,580	78.6	11	199	8. Mixed origin 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
598	OS_260	YS5(E)	BTD	type yeasts of the species Saccharomyces cerevisiae in different sugar media, Letters in Applied Microbiology 2001	Bakery	NA	no	B	35	4	aneu;+1*10;	heterozygous	91,744	79.0	42	90	8. Mixed origin 		Macquarie University (Philip Bell)	18
599	OS_683	CLIB324_2	ADM	Bakery	Bakery	Vietnam	no	B	69	2	euploid	heterozygous	72,819	54.8	34	298	8. Mixed origin 		CLIB collection	1
600	OS_595	CLQCA_10-003	AKT	Stingless bee	Insect	Pichincha, Ecuador	no	A	18	2	euploid	heterozygous	71,777	55.7	58	186	8. Mixed origin 		National Collection of Yeast Cultures (NCYC)(Stephen A James) and Coleccion de Levaduras Quito Catolica (CLQCA)(Enrique Javier Carvajal Barriga)	
601	OS_1657	324-6C	CHG	Bakery	Bakery	Vietnam	no	B	57	2	euploid	heterozygous	70,009	53.5	44	225	8. Mixed origin 	yes	INRA Moulon, France (Sicard D.)	
602	OS_1513	SC 29 F. Dromer IP	CHR	Vagina	Human, clinical	France	no	A	52	2	euploid	heterozygous	73,587	56.4	10	212	8. Mixed origin 		Inserm Universite P. M. Curie, Paris, France (Hennequin C.)	
603	OS_309	NCYC_2780	BML	Vagina	Human, clinical	Belgium	no	B	19	4	aneu;-1*3;+1*6;-1*7;-1*10;	heterozygous	92,767	76.9	57	328	8. Mixed origin 		National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
604	OS_261	YS8(E)	BTE	type yeasts of the species Saccharomyces cerevisiae in different sugar media, Letters in Applied Microbiology 2001	Bakery	NA	no	B	38	4	euploid	heterozygous	97,345	80.4	27	282	8. Mixed origin 		Macquarie University (Philip Bell)	18
605	OS_880	2680	BMM	Vagina	Human, clinical	Vall d'Hebron hospital, Barcelona, Spain	no	A	20	4	aneu;-1*1;-1*6;+1*7;-1*9;+1*13;+1*15;	heterozygous	96,513	80.4	11	220	8. Mixed origin 		Instituto de Agroquimica y Tecnologia de los Alimentos (IATA)-CSIC (Amparo Querol)	
606	OS_1350	SD-15	CBF	Sourdough levan	Bakery	Matera, Italy	no	A	158	4	aneu;+1*9;	heterozygous	97,515	80.8	13	232	8. Mixed origin 		University of Basilicata (Angela Capece and Patrizia Romano)	
607	OS_1545	malade 98 3312	CKK	Feces, clinical	Human, clinical	Amiens, France	no	A	96	4	euploid	heterozygous	95,578	80.8	13	155	8. Mixed origin 		Inserm Universite P. M. Curie, Paris, France (Hennequin C.)	
608	OS_1552	malade Berchid	CKS	Unknown	Human, clinical	France	no	B	132	4	aneu;+1*15;-1*16;	heterozygous	95,106	79.0	15	236	8. Mixed origin 		Inserm Universite P. M. Curie, Paris, France (Hennequin C.)	
609	OS_1555	malade Moreau	CLA	Unknown	Human, clinical	France	no	B	142	4	aneu;-1*14;	heterozygous	95,895	80.5	18	195	8. Mixed origin 		Inserm Universite P. M. Curie, Paris, France (Hennequin C.)	
610	OS_1710	YJM1326	SACE_YBW	Unknown	Human, clinical	Minnesota, USA	no	A	55	2	euploid	homozygous	52,705	0.0	156	567			Phaff collection	2
611	OS_1488	LCBG-3D6	CPI	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	no	Spar	8	2	euploid	heterozygous	74,644	22.3	653	252	9. Mexican agave 		Instituto Politecnico Nacional - Centro de Biotecnologia Genomica (Claudia Patricia Larralde Corona)	19
612	OS_1491	LCBG-3D2	CPM	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	no	none	0	2	euploid	heterozygous	73,782	21.5	583	234	9. Mexican agave 		Instituto Politecnico Nacional - Centro de Biotecnologia Genomica (Claudia Patricia Larralde Corona)	19
613	OS_1489	LCBG-Mosca3	CPK	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	no	A	27	2	euploid	heterozygous	71,788	22.3	53	131	9. Mexican agave 		Instituto Politecnico Nacional - Centro de Biotecnologia Genomica (Claudia Patricia Larralde Corona)	
614	OS_1490	LCBG-4Y3	CPL	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	no	A	16	2	euploid	heterozygous	73,971	23.0	256	248	9. Mexican agave 		Instituto Politecnico Nacional - Centro de Biotecnologia Genomica (Claudia Patricia Larralde Corona)	
615	OS_1494	LCBG-3D4	CPQ	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	no	A	20	2	aneu;+1*11;	heterozygous	74,034	24.7	445	195	9. Mexican agave 		Instituto Politecnico Nacional - Centro de Biotecnologia Genomica (Claudia Patricia Larralde Corona)	
616	OS_1492	LCBG-3Y3	CPN	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	no	A	9	2	euploid	heterozygous	75,247	25.5	199	183	9. Mexican agave 		Instituto Politecnico Nacional - Centro de Biotecnologia Genomica (Claudia Patricia Larralde Corona)	19
617	OS_1495	LCBG-3Y8	CPR	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	no	A	14	2	aneu;+1*12;	heterozygous	75,527	25.9	242	211	9. Mexican agave 		Instituto Politecnico Nacional - Centro de Biotecnologia Genomica (Claudia Patricia Larralde Corona)	19
618	OS_605	CLQCA_20-060	ALI	Water in leaf with organic matter	Water	Yasuni National Park, Orellana, Ecuador	no	Spar	8	2	euploid	heterozygous	86,950	18.6	9,326	210			National Collection of Yeast Cultures (NCYC)(Stephen A James) and Coleccion de Levaduras Quito Catolica (CLQCA)(Enrique Javier Carvajal Barriga)	
619	OS_893	HE008	BCG	Human feces	Human	French Guiana	no	none	0	2	euploid	heterozygous	84,266	10.3	417	230	10. French Guiana human 		Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
620	OS_888	HE001	BCB	Human feces	Human	French Guiana	no	none	0	2	euploid	heterozygous	83,898	11.1	366	218	10. French Guiana human 		Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
621	OS_898	HE013	BCM	Human feces	Human	French Guiana	no	none	0	2	euploid	heterozygous	82,798	8.5	257	207	10. French Guiana human 		Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
622	OS_1072	CEY619	BDT	Human feces	Human	French Guiana	no	none	0	2	euploid	heterozygous	83,991	10.1	202	223	10. French Guiana human 		Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
623	OS_892	HE007	BCF	Human feces	Human	French Guiana	no	none	0	2	euploid	heterozygous	83,879	9.6	286	224	10. French Guiana human 		Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
624	OS_897	HE012	BCL	Human feces	Human	French Guiana	no	none	0	2	euploid	heterozygous	83,806	8.6	127	230	10. French Guiana human 		Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
625	OS_890	HE005	BCD	Human feces	Human	French Guiana	no	none	0	2	euploid	heterozygous	85,291	12.3	119	233	10. French Guiana human 		Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
